Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",two imprisoned men bond number year finding solace eventual redemption act common decency,negative,0
The Godfather,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,organized crime dynasty aging patriarch transfer control clandestine empire reluctant son,neutral,1
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice,positive,2
The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate,positive,2
12 Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,jury holdout attempt prevent miscarriage justice forcing colleague reconsider evidence,neutral,1
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring,neutral,0
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",life two mob hitman boxer gangster wife pair diner bandit intertwine four tale violence redemption,neutral,1
Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazi,neutral,1
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,thief steal corporate secret use dreamsharing technology given inverse task planting idea mind ceo,negative,0
Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much,positive,2
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron,negative,0
Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",presidency kennedy johnson event vietnam watergate historical event unfold perspective alabama man iq whose desire reunited childhood sweetheart,neutral,0
"Il buono, il brutto, il cattivo",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemetery,negative,0
The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",frodo sam edge closer mordor help shifty gollum divided fellowship make stand saurons new ally saruman horde isengard,positive,2
The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",beautiful stranger lead computer hacker neo forbidding underworld discovers shocking truththe life know elaborate deception evil cyberintelligence,negative,0
Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",story henry hill life mob covering relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate,neutral,1
Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",rebel brutally overpowered empire ice planet hoth luke skywalker begin jedi training yoda friend pursued darth vader bounty hunter named boba fett galaxy,negative,0
One Flew Over the Cuckoo's Nest,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",criminal pleads insanity admitted mental institution rebel oppressive nurse rally scared patient,negative,0
Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",real life one america foremost founding father first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast,positive,2
Gisaengchung,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan,positive,2
Soorarai Pottru,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",nedumaaran rajangam maara set make common man fly process take world capital intensive industry several enemy stand way,positive,2
Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,team explorer travel wormhole space attempt ensure humanity survival,neutral,1
Cidade de Deus,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",slum rio two kid path diverge one struggle become photographer kingpin,neutral,0
Sen to Chihiro no kamikakushi,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",family move suburb sullen yearold girl wanders world ruled god witch spirit human changed beast,neutral,2
Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",following normandy landing group u soldier go behind enemy line retrieve paratrooper whose brother killed action,negative,0
The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",life guard death row affected one charge black man accused child murder rape yet mysterious gift,negative,0
La vita è bella,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",openminded jewish librarian son become victim holocaust us perfect mixture humor imagination protect son danger around camp,positive,2
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",two detective rookie veteran hunt serial killer us seven deadly sin motif,negative,0
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skin victim,positive,2
Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",luke skywalker join force jedi knight cocky pilot wookiee two droids save galaxy empire worlddestroying battle station also attempting rescue princess leia mysterious darth vader,negative,0
Seppuku,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",ronin requesting seppuku feudal lord palace told brutal suicide another ronin previously visited reveals past intertwined challenge clan integrity,negative,0
